number,first_name,last_name,position,age,culture,height,weight,school,college_name,region,division,scout_name,season,week,evaluation,range,confidence,text,player_id
33,Chad,Ford,CB,21,Professional,73,196,Auburn,Wildcats,South,1,American Player Scouts,1,23,83,2,65,"Ford is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. He is likely to be a first round selection during the PFL Draft. Entering the 2025 season, there is positive buzz about Ford in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. Chad does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. Ford is very good in zone coverage, where he reads plays well to disrupt passing lanes, covers up receivers, and makes clutch tackles downfield. He is a poor blitzer who lacks vision and the ability to fight through blocks. Ford is a natural cover corner with speed, strength, quick feet, and agility. He is fluid and does a nice job of running the route with receivers to prevent them from gaining separation. He can be a physical presence when he's playing with patience from press coverage. Chad is a dynamic defender in the middle of the field thanks to being extremely well-rounded. Chad is also a willing run defender who will contribute to the ground defense and tackle. He fights off blocks, fires to the ball, and shows nice tackling technique for a corner. Overall, Chad was generally solid, but sometimes made some mistakes. It would not be surprising if he is considered an All-Pro early in his rookie contract. He brings great upside, and his potential shouldn't be overlooked. ",49389878
42,Robert,Clark,MLB,20,Strategic,74,277,Penn State,Mountain Lions,Appalachia,1,American Player Scouts,1,24,83,2,65,"Clark is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. He is likely to be a first round selection during the PFL Draft. The Penn State coaches wasted no time getting him on the field, with plenty of playing time in 2025 en route to an All-Freshman Team selection. Robert does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He has average size and instincts for work between the tackles, but the pursuit speed and tackling talent to run and hit from sideline to sideline. He can handle some coverage chores but it's not his strong suit. Overall, Robert was generally solid, but sometimes made some mistakes. Clark is low-key and calm off the field, and is likely to remain focused. In his final collegiate season, he was voted a team captain, started all games at Middle Linebacker, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Clark should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389837
69,Jeff,Kane,DT,22,,73,331,Kentucky,Tigers,South,1,Media,1,2,82,5,50,,49389779
12,Brandon,Boyer,P,23,,72,201,Houston,Lynxes,Texas,1,Media,1,2,82,5,50,,49389967
66,Russell,Wagner,C,23,,75,283,West Lafayette,Engineers,Midwest,1,Media,1,2,82,5,50,,49389708
11,Terence,Cooper,QB,21,,71,208,Florida State,Chiefs,Florida,1,Media,1,2,82,5,50,,49389556
41,Dallas,Ross,MLB,21,,76,269,West Virginia,Miners,Appalachia,1,Media,1,2,82,5,50,,49389835
45,Riley,Marshall,OLB,21,Energetic,71,275,Durham,Devils,South,1,American Player Scouts,1,6,82,2,65,,49389844
70,Zaire,Richards,G,21,Strategic,75,300,Illinois State,Cardinals,Midwest,2,American Player Scouts,1,11,82,2,65,,49389693
88,Demetri,Gorham,TE,22,Adaptable,77,255,Auburn,Wildcats,South,1,American Player Scouts,1,12,82,2,65,,49389654
88,Anthony,Varner,WR,23,,75,199,Louisiana State,Cougars,South,1,Media,1,2,81,5,50,,49389602
44,Andre,Hart,CB,22,,71,194,Louisville,Finches,South,1,Media,1,2,81,5,50,,49389860
58,Erik,Platt,T,21,,76,287,Syracuse,Lakers,New York,1,Media,1,2,81,5,50,,49389735
98,Josh,Carter,MLB,22,,77,253,Houston,Lynxes,Texas,1,Media,1,2,81,5,50,,49389840
13,Anthony,Blair,WR,23,,76,183,Michigan State,Trojans,Midwest,1,Media,1,2,81,5,50,,49389643
62,David,Mathis,DT,23,,76,293,Oregon,Seagulls,Pacific Northwest,1,Media,1,2,81,5,50,,49389800
29,Jake,Miller,OLB,23,,71,252,Memphis,Lions,South,1,Media,1,2,81,5,50,,49389815
18,Kyle,Rainey,WR,21,,77,185,Auburn,Wildcats,South,1,Media,1,2,81,5,50,,49389647
18,Johnny,Hood,WR,23,Adaptable,76,203,North Carolina State,Wolves,South,1,American Player Scouts,1,5,81,2,65,,49389625
91,T.J.,Wilson,DE,23,Strategic,78,300,California,Golden Cubs,California,1,American Player Scouts,1,8,81,2,65,,49389764
89,John,Hopkins,WR,21,Strategic,69,203,Evanston,Panthers,Midwest,1,American Player Scouts,1,10,81,2,65,,49389636
88,Linval,Shields,WR,23,Aggressive,78,188,Army,Infantry,New York,1,American Player Scouts,1,13,81,2,65,,49389631
58,Erik,Platt,T,21,Energetic,76,287,Syracuse,Lakers,New York,1,American Player Scouts,1,13,81,2,65,,49389735
58,Erik,Platt,T,21,Energetic,76,287,Syracuse,Lakers,New York,1,American Player Scouts,1,13,81,2,65,,49389735
48,Daniel,Johnson,CB,20,Energetic,71,189,New Jersey,Paladins,Mid-Atlantic,1,American Player Scouts,1,14,81,2,65,,49389887
41,Deone,Hinton,WR,22,Aggressive,71,193,Oklahoma State,Rangers,Great Plains,1,American Player Scouts,1,17,81,2,65,"Deone is an elite specimen to watch on the football field. He is likely to be a first round selection during the PFL Draft. Hinton redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. A decent WR in 4- or 5-WR sets, but probably won't be a primary PFL receiver. Our scouts noted Deone's play was consistently impressive. Hinton was one of the best players in college football in 2025, producing a superb season for the Rangers. He brings great upside, and his potential shouldn't be overlooked. ",49389609
33,Steven,Buford,FB,23,Strategic,71,229,Nashville,Admirals,South,1,American Player Scouts,1,21,81,2,65,"Entering the 2025 season, there is positive buzz about Buford in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. He is likely to be a first round selection during the PFL Draft. Buford redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Overall, Steven was generally solid, but sometimes made some mistakes. Buford is low-key and calm off the field, and is likely to remain focused. It would not be surprising if he is considered an All-Pro early in his rookie contract. For the time our scouts watched him, Buford kept up, but didn't show he had long-term potential for greatness. ",49389598
94,Matt,Thornton,DE,21,Adaptable,79,277,Auburn,Wildcats,South,1,American Player Scouts,1,21,81,2,65,"Thornton is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. He is likely to be a first round selection during the PFL Draft. Thornton is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. Defensive prospect with a can't-miss combination of football character, skill and physical traits who can become an All-Pro playmaker. Thornton's strength and ability allows him to drop a deep anchor and set a very firm edge, and that is unlikely to change as a pro whether he's used in 4-3 or 3-4 fronts. In the ground game, Matt is generally reliable at holding his gap. He does not get knocked off the ball and is able to set the edge. Thornton should spend more time in the film room to help improve his inconsistent play. A physically intimidating DE that has many pro skills. Thornton was one of the best players in college football in 2025, producing a superb season for the Wildcats. Thornton should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389746
55,Terrence,Turner,G,23,Professional,79,284,Spartanburg,Corgis,South,2,American Player Scouts,1,23,81,2,65,"Turner is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. He is likely to be a first round selection during the PFL Draft. Turner redshirted in 2021 and excelled the following fall, earning the team's Freshman of the Year Award. In the ground game, Turner is able to tie up and manipulate defenders with physicality and intelligent play. As a pass blocker, he has the strength to rock defenders and often knock them off balance to slow them down. Our scouts noted Terrence's play was consistently impressive. A physically intimidating G that has many pro skills. Turner is low-key and calm off the field, and is likely to remain focused. He enrolled a semester early at Spartanburg and it paid off, as he was named a second-team All-League pick in 2022. Terrence showed great development during his time at Spartanburg, and he expects to continue after transitioning to the pros. ",49389717
54,Scott,Christian,G,22,Aggressive,76,299,Clemson,Wildcats,South,1,American Player Scouts,1,23,81,2,65,"Christian has big-time ability with upside, and he could be even better now that he has starting experience. He is likely to be a first round selection during the PFL Draft. Christian redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Scott is a quality pass blocker who has smooth feet that allow him to get depth in his drop and neutralize speed rushers. Christian should spend more time in the film room to help improve his inconsistent play. Scott's size and athleticism made him one of the top recruits in the country. Christian is low-key and calm off the field, and is likely to remain focused. He enrolled a semester early at Clemson and it paid off, as he was named a second-team All-League pick in 2022. Christian should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389692
29,Jake,McNeill,CB,21,,75,184,North Carolina State,Wolves,South,1,Media,1,2,80,5,50,,49389902
37,Roy,Cameron,CB,22,,72,203,Oregon,Seagulls,Pacific Northwest,1,Media,1,2,80,5,50,,49389896
33,Ryan,Smith,CB,23,,72,175,South Bend,Leprechauns,Midwest,1,Media,1,2,80,5,50,,49389881
42,Justin,Braswell,CB,22,,69,213,Dallas,Mustangs,Texas,1,Media,1,2,80,5,50,,49389863
41,Deone,Hinton,WR,22,,71,193,Oklahoma State,Rangers,Great Plains,1,Media,1,2,80,5,50,,49389609
5,Jeff,Pollard,QB,23,,73,226,Missouri,Lions,South,1,Media,1,2,80,5,50,,49389547
64,Alan,Brown,DE,23,Professional,75,295,Mississippi,Insurgents,South,1,American Player Scouts,1,6,80,2,65,,49389770
7,Johnny,Johnson,CB,22,Energetic,74,218,Southern California,Spartans,California,1,American Player Scouts,1,8,80,2,65,,49389884
91,Keith,Jones,DT,23,Adaptable,76,291,Ohio,Wildcats,Midwest,1,American Player Scouts,1,10,80,2,65,,49389787
66,Russell,Wagner,C,23,Professional,75,283,West Lafayette,Engineers,Midwest,1,American Player Scouts,1,10,80,2,65,,49389708
38,Jonathan,Brown,CB,23,Professional,75,194,Illinois,Chiefs,Midwest,1,American Player Scouts,1,11,80,2,65,,49389869
62,Landon,Reese,C,23,Aggressive,76,294,Michigan,Weasels,Midwest,1,American Player Scouts,1,11,80,2,65,,49389710
58,Erik,Platt,T,21,Energetic,76,287,Syracuse,Lakers,New York,1,American Player Scouts,1,13,80,2,65,,49389735
35,Da'Norris,Herron,FB,22,Aggressive,69,271,Wisconsin,Marmots,Midwest,1,American Player Scouts,1,16,80,2,65,"Entering the 2025 season, there is positive buzz about Herron in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. Herron redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Herron should spend more time in the film room to help improve his inconsistent play. Herron is low-key and calm off the field, and is likely to remain focused. He enrolled a semester early at Wisconsin and it paid off, as he was named a second-team All-League pick in 2022. Herron is a player that has the potential to become an All-Pro someday. ",49389600
70,Matt,McClure,T,20,Strategic,77,328,Tulsa,Tornadoes,Great Plains,1,American Player Scouts,1,17,80,2,65,"McClure is a name we will be hearing much more often next season. McClure is a name we will be hearing much more often next season. As a pass blocker, he has the strength to rock defenders and often knock them off balance to slow them down. Overall, Matt was generally solid, but sometimes made some mistakes. A physically intimidating T that has many pro skills. In his final collegiate season, he was voted a team captain, started all games at Left Tackle, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. He brings great upside, and his potential shouldn't be overlooked. ",49389741
41,C.J.,Espinoza,OLB,22,Professional,76,236,Oklahoma,Wagoneers,Great Plains,1,American Player Scouts,1,17,80,2,65,"The Oklahoma coaches wasted no time getting him on the field, with plenty of playing time in 2025 en route to an All-Freshman Team selection. Espinoza redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Espinoza continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. C.J. does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. Long, athletic linebacker who makes his presence on the field known. He can handle some coverage chores but it's not his strong suit. Overall, C.J. was generally solid, but sometimes made some mistakes. Espinoza is low-key and calm off the field, and is likely to remain focused. In his final collegiate season, he was voted a team captain, started all games at Right Outside Linebacker, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Espinoza should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389853
5,Sean,Nash,QB,23,,71,204,North Dakota State,Buffaloes,Great Plains,2,Media,1,2,79,5,50,,49389546
42,Derrick,Campbell,CB,21,,74,180,Florida State,Chiefs,Florida,1,Media,1,2,79,5,50,,49389883
43,Devante,Davis,CB,22,,71,196,Long Island,Dolphins,Mid-Atlantic,2,Media,1,2,79,5,50,,49389870
45,Kirk,McClain,OLB,21,,74,222,Ohio State,Acorns,Midwest,1,Media,1,2,79,5,50,,49389808
68,Austin,Pollard,DE,23,,76,291,Tulsa,Tornadoes,Great Plains,1,Media,1,2,79,5,50,,49389761
47,Patrick,Sullivan,S,23,,72,187,Texas,Bulls,Texas,1,Media,1,2,79,5,50,,49389908
18,Vincent,Mueller,QB,22,,76,201,Utah,Chiefs,Great Basin,1,Media,1,2,79,5,50,,49389550
42,Tarell,Farmer,TE,21,,77,252,Clemson,Wildcats,South,1,Media,1,2,79,5,50,,49389657
45,Riley,Marshall,OLB,21,,71,275,Durham,Devils,South,1,Media,1,2,79,5,50,,49389844
26,Ronnie,Green,CB,20,,75,210,Maryland,Turtles,Mid-Atlantic,1,Media,1,2,79,5,50,,49389864
63,Mike,Lewis,DE,22,,75,291,Tennessee,Militiamen,South,1,Media,1,2,79,5,50,,49389766
35,Dean,Beverly,S,22,,74,187,Southern California,Spartans,California,1,Media,1,2,79,5,50,,49389917
59,Elijah,Lang,G,22,,76,298,Nashville,Admirals,South,1,Media,1,2,79,5,50,,49389684
60,Ty,Teague,G,23,Energetic,75,297,Auburn,Wildcats,South,1,American Player Scouts,1,5,79,2,65,,49389696
36,Ronald,Durham,CB,21,Energetic,70,220,Mississippi State,Wild Dogs,South,1,American Player Scouts,1,6,79,2,65,,49389900
96,Kenny,Johnson,DE,22,Strategic,77,282,California-Los Angeles,Bears,California,1,American Player Scouts,1,8,79,2,65,,49389765
14,A.J.,Watkins,WR,22,Strategic,74,200,Mississippi State,Wild Dogs,South,1,American Player Scouts,1,15,79,2,65,"Watkins is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. Watkins redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Will likely see the field in the PFL, but not on every down. Overall, A.J. was generally solid, but sometimes made some mistakes. He enrolled a semester early at Mississippi State and it paid off, as he was named a second-team All-League pick in 2022. Watkins is a player that has the potential to become an All-Pro someday. ",49389633
53,Bilal,Carter,DE,22,Energetic,74,287,New Orleans,Green Tide,South,1,American Player Scouts,1,15,79,2,65,"Carter has big-time ability with upside, and he could be even better now that he has starting experience. Carter redshirted in 2021 and excelled the following fall, earning the team's Freshman of the Year Award. Carter continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. He was a four-star recruit at his high school and was named Defensive Player of the Year (a national award) as a senior in 2021. Carter's strength and ability allows him to drop a deep anchor and set a very firm edge, and that is unlikely to change as a pro whether he's used in 4-3 or 3-4 fronts. In the ground game, Bilal is generally reliable at holding his gap. He does not get knocked off the ball and is able to set the edge. Overall, Bilal was generally solid, but sometimes made some mistakes. Carter was one of the best players in college football in 2025, producing a superb season for the Green Tide. Carter is a player that has the potential to become an All-Pro someday. ",49389763
15,Rob,Hawthorne,WR,22,Aggressive,77,194,Oklahoma,Wagoneers,Great Plains,1,American Player Scouts,1,17,79,2,65,"Hawthorne is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. Hawthorne redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. The PFL is a passing-driven league, and Hawthorne is a smooth and polished playmaker who could be very nice complementary receiver in a pro offense. Hawthorne should spend more time in the film room to help improve his inconsistent play. He enrolled a semester early at Oklahoma and it paid off, as he was named a second-team All-League pick in 2022. Rob has the talent to become a great PFL player someday. ",49389607
91,Henry,Dean,OLB,21,Strategic,74,271,Mississippi State,Wild Dogs,South,1,American Player Scouts,1,23,79,2,65,"Dean is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. Dean is a name we will be hearing much more often next season. Henry does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He has average size and instincts for work between the tackles, but the pursuit speed and tackling talent to run and hit from sideline to sideline. He can handle some coverage chores but it's not his strong suit. Dean should spend more time in the film room to help improve his inconsistent play. Dean is low-key and calm off the field, and is likely to remain focused. In his final collegiate season, he was voted a team captain, started all games at Left Outside Linebacker, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Dean should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389816
25,Leonard,Mason,S,22,,75,198,Tennessee,Militiamen,South,1,Media,1,2,78,5,50,,49389922
90,Marcus,Hopkins,DT,23,,77,324,Texas,Bulls,Texas,1,Media,1,2,78,5,50,,49389801
64,Alan,Brown,DE,23,,75,295,Mississippi,Insurgents,South,1,Media,1,2,78,5,50,,49389770
30,Evan,Hunter,OLB,21,,74,255,North Carolina State,Wolves,South,1,Media,1,2,78,5,50,,49389856
7,Johnny,Johnson,CB,22,,74,218,Southern California,Spartans,California,1,Media,1,2,78,5,50,,49389884
75,Austin,Sasser,G,20,,78,328,Texas A&M,Ranchers,Texas,1,Media,1,2,78,5,50,,49389694
12,Kevin,Jackson,WR,22,,77,220,Nevada,Wolves,Great Basin,1,Media,1,2,78,5,50,,49389603
82,Louis,Lang,WR,21,,78,219,Maryland,Turtles,Mid-Atlantic,1,Media,1,2,78,5,50,,49389635
43,Carl,Cunningham,CB,20,,70,220,Texas,Bulls,Texas,1,Media,1,2,78,5,50,,49389866
82,Javorius,Harper,WR,20,,76,215,Colorado State,Goats,Rockies,1,Media,1,2,78,5,50,,49389613
16,Raymond,Sorensen,K,23,,70,191,Florida State,Chiefs,Florida,1,Media,1,2,78,5,50,,49389954
95,Gabriel,Parker,DT,21,,77,309,Iowa State,Tornadoes,Midwest,1,Media,1,2,78,5,50,,49389796
58,Brandon,May,DE,20,,74,294,Arizona State,Sun Demons,Southwest,1,Media,1,2,78,5,50,,49389775
16,Tramaine,Glover,WR,23,,78,190,Tulsa,Tornadoes,Great Plains,1,Media,1,2,78,5,50,,49389620
18,Kyle,Rainey,WR,21,Strategic,77,185,Auburn,Wildcats,South,1,American Player Scouts,1,5,78,2,65,,49389647
61,Jonathan,Jones,G,22,Professional,78,307,South Bend,Leprechauns,Midwest,1,American Player Scouts,1,10,78,2,65,,49389715
45,Kirk,McClain,OLB,21,Adaptable,74,222,Ohio State,Acorns,Midwest,1,American Player Scouts,1,11,78,2,65,,49389808
21,David,Bergeron,HB,21,Strategic,69,194,Syracuse,Lakers,New York,1,American Player Scouts,1,13,78,2,65,,49389583
86,Andre,Blackburn,TE,21,Adaptable,78,254,South Bend,Leprechauns,Midwest,1,American Player Scouts,1,16,78,2,65,"Blackburn has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. He is likely to be a second day selection during the PFL Draft. Has some run-blocking ability to prove his worth on any offensive play. He can improve as a route-runner but might have three-level potential as a pass-catcher. Blackburn should spend more time in the film room to help improve his inconsistent play. A physically intimidating TE that has many pro skills. It would not be surprising if he is considered an All-Pro early in his rookie contract. For the time our scouts watched him, Blackburn kept up, but didn't show he had long-term potential for greatness. ",49389652
52,Patrick,Alderman,DE,23,Energetic,76,287,North Texas,Angry Riders,Great Plains,1,American Player Scouts,1,17,78,2,65,"Patrick is a capable Right End and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Alderman continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. Defensive prospect with a can't-miss combination of football character, skill and physical traits who can become an All-Pro playmaker. Alderman's strength and ability allows him to drop a deep anchor and set a very firm edge, and that is unlikely to change as a pro whether he's used in 4-3 or 3-4 fronts. In the ground game, Patrick is generally reliable at holding his gap. He does not get knocked off the ball and is able to set the edge. Overall, Patrick was generally solid, but sometimes made some mistakes. Patrick's size and athleticism made him one of the top recruits in the country. Alderman was one of the best players in college football in 2025, producing a superb season for the Angry Riders. He brings great upside, and his potential shouldn't be overlooked. ",49389759
10,Josh,Caldwell,QB,23,Adaptable,74,214,Colorado State,Goats,Rockies,1,American Player Scouts,1,19,78,2,65,"Josh is a capable Quarterback and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Caldwell occasionally looks like a reliable PFL passer on the field. Overall, Josh was generally solid, but sometimes made some mistakes. Caldwell is low-key and calm off the field, and is likely to remain focused. In his final collegiate season, he was voted a team captain, started all games at Quarterback, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Josh showed great development during his time at Colorado State, and he expects to continue after transitioning to the pros. ",49389543
